userId;idOriginal
1;790680
2;894941
3;1471351
4;1629241
5;1782991
6;3011101
7;3297861
8;3493611
9;5700922
10;6362292
11;7889212
12;8110052
13;8166852
14;8189252
15;8205502
16;8242092
17;8404722
18;8442222
19;8565402
20;8706182
21;8802752
22;8888872
23;9169582
24;9298532
25;9317502
26;9318382
27;9540412
28;9762942
29;9815202
30;9908282
31;10007522
32;10044712
33;10182502
34;10201082
35;10710422
36;10847272
37;11019442
38;11334252
39;11460192
40;11486082
41;11585322
42;11672672
43;12148632
44;12535142
45;12636552
46;12681482
47;13102562
48;13200062
49;13345082
50;13474322
51;13531162
52;13642662
53;13696442
54;14015912
55;14117252
56;14170324
57;14184068
58;14194620
59;14199750
60;14214819
61;14219776
62;14220634
63;14231500
64;14247387
65;14254380
66;14322674
67;14333123
68;14372554
69;14409263
70;14424879
71;14426836
72;14434407
73;14443840
74;14454198
75;14456121
76;14499351
77;14500900
78;14505497
79;14525425
80;14558231
81;14562405
82;14571320
83;14594698
84;14594760
85;14594813
86;14623359
87;14635261
88;14640460
89;14665333
90;14706055
91;14706597
92;14720479
93;14790618
94;14794243
95;14801327
96;14850037
97;14862912
98;14938645
99;14947529
100;14980096
101;15007782
102;15084884
103;15139483
104;15163124
105;15206919
106;15257691
107;15294541
108;15296976
109;15313535
110;15417448
111;15468940
112;15475908
113;15531260
114;15601948
115;15612375
116;15657019
117;15690623
118;15691135
119;15691385
120;15692857
121;15694035
122;15706099
123;15739926
124;15743329
125;15765190
126;15802460
127;15809203
128;15823153
129;15843831
130;15896379
131;15900909
132;15916536
133;15964102
134;16000565
135;16025940
136;16026407
137;16130151
138;16150088
139;16230309
140;16236786
141;16255189
142;16276984
143;16277042
144;16313095
145;16317116
146;16358916
147;16369990
148;16379715
149;16387720
150;16461476
151;16485236
152;16509549
153;16534739
154;16546904
155;16558633
156;16577054
157;16583417
158;16583619
159;16608108
160;16615887
161;16616083
162;16622310
163;16626857
164;16632884
165;16649405
166;16682659
167;16683924
168;16737390
169;16738147
170;16752080
171;16788143
172;16794066
173;16814640
174;16818750
175;16833533
176;16871663
177;16874888
178;16875360
179;16876863
180;16906073
181;16982294
182;16992866
183;17020332
184;17021687
185;17054462
186;17063949
187;17073427
188;17077026
189;17096099
190;17118982
191;17132220
192;17240773
193;17261342
194;17296310
195;17299886
196;17323761
197;17338603
198;17368742
199;17421227
200;17461033
201;17490510
202;17490792
203;17493220
204;17528506
205;17539091
206;17547733
207;17676613
208;17711232
209;17715048
210;17717507
211;17747948
212;17752026
213;17758142
214;17763498
215;17782770
216;17911307
217;17927918
218;17969518
219;18029168
220;18120410
221;18173880
222;18194029
223;18216935
224;18363255
225;18379036
226;18452422
227;18474858
228;18550598
229;18571043
230;18681080
231;18689443
232;18759913
233;18802182
234;18818881
235;18863614
236;18912498
237;18920904
238;18938394
239;19017813
240;19018905
241;19037991
242;19087959
243;19119504
244;19128168
245;19214559
246;19235096
247;19258191
248;19268911
249;19295536
250;19314721
251;19350237
252;19351269
253;19390157
254;19496869
255;19539202
256;19593634
257;19742124
258;19752908
259;19754288
260;19775224
261;19805179
262;19823887
263;20016720
264;20021164
265;20045752
266;20056524
267;20174944
268;20175119
269;20231995
270;20279064
271;20384311
272;20653839
273;20717480
274;20739373
275;20913287
276;21011522
277;21046787
278;21086720
279;21207962
280;21363569
281;21414141
282;21461958
283;21587844
284;21663897
285;21679796
286;21915147
287;22098035
288;22138525
289;22159950
290;22176833
291;22206894
292;22216860
293;22253616
294;22262308
295;22367510
296;22369854
297;22384371
298;22390083
299;22487897
300;22504805
301;22758553
302;22780229
303;22788189
304;22796182
305;22836184
306;22864100
307;22905057
308;22925413
309;22938702
310;22993015
311;23113159
312;23113271
313;23166886
314;23210224
315;23246734
316;23300174
317;23331147
318;23337270
319;23408209
320;23437282
321;23489530
322;23573478
323;23606100
324;23654729
325;23694996
326;23768084
327;23795573
328;23804094
329;23855586
330;23945369
331;23972193
332;23978439
333;24171057
334;24237705
335;24259073
336;24271121
337;24418153
338;24460853
339;24475765
340;24542053
341;24619539
342;24634904
343;24685854
344;24687059
345;24758302
346;24778359
347;24802340
348;24802627
349;24850181
350;24891583
351;24903533
352;24919990
353;24941548
354;24956486
355;25106535
356;25149433
357;25198237
358;25202271
359;25226019
360;25349880
361;25371172
362;25399847
363;25414353
364;25417481
365;25462318
366;25506958
367;25523702
368;25562342
369;25564178
370;25592366
371;25631867
372;25730496
373;25751777
374;25848953
375;25850446
376;25868975
377;25890687
378;25932083
379;26005208
380;26015148
381;26033581
382;26047511
383;26074120
384;26098473
385;26130205
386;26148562
387;26158897
388;26169767
389;26204516
390;26238501
391;26250547
392;26263824
393;26280493
394;26325339
395;26331578
396;26338745
397;26374507
398;26394162
399;26397382
400;26486565
401;26490334
402;26541120
403;26556986
404;26560366
405;26573303
406;26663913
407;26708630
408;26726112
409;26799550
410;26810012
411;26924912
412;26944359
413;26952401
414;26968974
415;27031160
416;27058472
417;27086951
418;27115324
419;27125625
420;27135870
421;27235369
422;27236126
423;27237601
424;27266352
425;27322836
426;27325121
427;27336239
428;27338591
429;27338874
430;27408360
431;27478707
432;27490546
433;27525158
434;27626930
435;27631646
436;27686590
437;27689206
438;27712820
439;27731371
440;27733656
441;27760830
442;27765536
443;27855374
444;27856959
445;27869674
446;27875098
447;28093642
448;28113237
449;28129955
450;28172588
451;28198550
452;28252274
453;28343673
454;28380075
455;28395000
456;28407898
457;28444722
458;28468268
459;28547667
460;28565042
461;28573630
462;28586062
463;28632905
464;28656064
465;28673055
466;28674943
467;28744829
468;28789339
469;28801688
470;28803662
471;28858194
472;28872233
473;28887256
474;28921638
475;28933576
476;28972419
477;29030568
478;29111713
479;29128315
480;29150319
481;29204494
482;29218587
483;29274419
484;29359313
485;29368342
486;29376337
487;29384003
488;29391779
489;29448098
490;29500849
491;29570995
492;29644969
493;29680020
494;29691299
495;29706521
496;29724572
497;29750114
498;29792850
499;29821320
500;29824633
501;29829137
502;29913589
503;29968476
504;29995817
505;30070288
506;30099648
507;30103328
508;30267556
509;30315629
510;30347231
511;30388412
512;30455883
513;30550336
514;30607585
515;30701730
516;30734740
517;30743549
518;30794695
519;30875353
520;30902605
521;30926527
522;30945578
523;30969550
524;31116114
525;31118990
526;31134603
527;31201557
528;31237532
529;31282262
530;31330128
531;31472990
532;31475618
533;31490845
534;31494764
535;31496702
536;31504246
537;31505443
538;31508484
539;31511871
540;31513669
541;31568171
542;31589274
543;31690161
544;31747924
545;31764238
546;31943429
547;32164915
548;32264459
549;32416037
550;32425713
551;32447603
552;32529120
553;32529716
554;32531149
555;32598719
556;32665184
557;32690744
558;32853286
559;32856859
560;32875623
561;32899201
562;32968763
563;32994976
564;33029913
565;33119191
566;33235041
567;33235360
568;33249940
569;33281490
570;33326763
571;33369526
572;33371520
573;33372225
574;33374177
575;33374965
576;33376199
577;33376887
578;33386714
579;33387692
580;33392355
581;33394489
582;33402868
583;33412353
584;33421921
585;33491597
586;33529263
587;33530059
588;33534562
589;33561282
590;33562261
591;33588638
592;33597036
593;33612275
594;33621208
595;33655591
596;33656426
597;33658058
598;33662478
599;33672045
600;33690277
601;33742719
602;33748877
603;33756739
604;33763161
605;33778146
606;33897675
607;33905879
608;33910489
609;33910798
610;33935701
611;33954663
612;33958052
613;33981409
614;34013214
615;34027641
616;34097355
617;34110683
618;34120125
619;34135893
620;34164237
621;34164290
622;34237029
623;34267025
624;34271853
625;34274276
626;34279346
627;34289600
628;34326265
629;34331220
630;34336805
631;34347274
632;34351223
633;34366699
634;34402508
635;34411758
636;34500634
637;34505293
638;34510547
639;34517269
640;34595385
641;34600349
642;34607110
643;34609695
644;34619086
645;34629513
646;34696036
647;34725510
648;34743602
649;34750152
650;34755654
651;34759495
652;34770329
653;34774328
654;34779125
655;34796862
656;34828234
657;34839398
658;34839736
659;34932711
660;34986682
661;35005785
662;35024110
663;35027614
664;35071010
665;35122360
666;35126869
667;35202672
668;35203259
669;35213222
670;35277181
671;35282891
672;35317082
673;35452993
674;35512590
675;35536616
676;35583723
677;35601176
678;35616011
679;35667308
680;35719535
681;35720111
682;35749457
683;35749785
684;35751569
685;35814076
686;35890299
687;35893399
688;35896489
689;35898542
690;35904690
691;35908296
692;35917565
693;35917631
694;35921755
695;35922211
696;35925201
697;35935781
698;35947852
699;35961734
700;35964076
701;35964992
702;35972077
703;35979022
704;35979207
705;35981188
706;36035167
707;36043787
708;36049818
709;36054774
710;36058727
711;36066656
712;36067909
713;36105278
714;36172947
715;36353142
716;36373308
717;36373752
718;36383587
719;36384964
720;36390281
721;36413526
722;36424252
723;36453949
